driver_name,team,grid,position
Sergio Pérez,Racing Point,19,""
Max Verstappen,Red Bull,1,1
Valtteri Bottas,Mercedes,2,2
Lewis Hamilton,Mercedes,3,3
Alexander Albon,Red Bull,5,4
Lando Norris,McLaren,4,5
Carlos Sainz,McLaren,6,6
Daniel Ricciardo,Renault,11,7
Pierre Gasly,AlphaTauri,9,8
Esteban Ocon,Renault,10,9
Lance Stroll,Racing Point,8,10
Daniil Kvyat,AlphaTauri,7,11
Kimi Räikkönen,Alfa Romeo,15,12
Charles Leclerc,Ferrari,12,13
Sebastian Vettel,Ferrari,13,14
George Russell,Williams,16,15
Antonio Giovinazzi,Alfa Romeo,14,16
Nicholas Latifi,Williams,18,17
Kevin Magnussen,Haas F1 Team,20,18
Pietro Fittipaldi,Haas F1 Team,17,19
